moodys_industry,gics_1_sector_code,gics_2_industrygroup_code,gics_3_industry_code,gics_4_subindustry_code,gics_1_sector,gics_2_industrygroup,gics_3_industry,gics_4_subindustry,gics_description,moodys_description
Energy: Oil & Gas,10,1010,101010,10101010,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,Drilling contractors or owners of drilling rigs that contract their services for drilling wells.,"Oil & gas exploration and production, drilling, refining and marketing, and integrated oil companies. Oil service and pipeline operators. Propane producers"
Energy: Oil & Gas,10,1010,101010,10101020,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,"Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies and services to companies involved in the drilling, evaluation and completion of oil and gas wells.","Oil & gas exploration and production, drilling, refining and marketing, and integrated oil companies. Oil service and pipeline operators. Propane producers"
Energy: Oil & Gas,10,1010,101020,10102010,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,"Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals.","Oil & gas exploration and production, drilling, refining and marketing, and integrated oil companies. Oil service and pipeline operators. Propane producers"
Energy: Oil & Gas,10,1010,101020,10102020,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.,"Oil & gas exploration and production, drilling, refining and marketing, and integrated oil companies. Oil service and pipeline operators. Propane producers"
Energy: Oil & Gas,10,1010,101020,10102030,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,"Companies engaged in the refining and marketing of oil, gas and/or refined products not classified in the Integrated Oil & Gas or Independent Power Producers & Energy Traders Sub-Industries.","Oil & gas exploration and production, drilling, refining and marketing, and integrated oil companies. Oil service and pipeline operators. Propane producers"
Utilities: Oil & Gas,10,1010,101020,10102040,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,"Companies engaged in the storage and/or transportation of oil, gas and/or refined products. Includes diversified midstream natural gas companies, oil and refined product pipelines, coal slurry pipelines and oil & gas shipping companies.",Gas distribution and transmission. Energy storage. Natural gas utilities
Metals & Mining,10,1010,101020,10102050,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,"Companies primarily involved in the production and mining of coal, related products and other consumable fuels related to the generation of energy.  Excludes companies primarily producing gases classified in the Industrial Gases Sub-Industry and companies primarily mining for metallurgical (coking) coal used for steel production.","Coal and metal mining, aluminum and steel production and recycling"
"Chemicals, Plastics, & Rubber",15,1510,151010,15101010,Materials,Materials,Chemicals,Commodity Chemicals,"Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibers, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemical companies classified in the Diversified Chemicals, Fertilizers & Agricultural Chemicals, Industrial Gases, or Specialty Chemicals Sub-Industries.","Agricultural, commodity and specialty chemicals producers"
"Chemicals, Plastics, & Rubber",15,1510,151010,15101020,Materials,Materials,Chemicals,Diversified Chemicals,"Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries.","Agricultural, commodity and specialty chemicals producers"
"Chemicals, Plastics, & Rubber",15,1510,151010,15101030,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,"Producers of fertilizers, pesticides, potash or other agriculture-related chemicals not classified elsewhere.","Agricultural, commodity and specialty chemicals producers"
"Chemicals, Plastics, & Rubber",15,1510,151010,15101040,Materials,Materials,Chemicals,Industrial Gases,Manufacturers of industrial gases.,"Agricultural, commodity and specialty chemicals producers"
"Chemicals, Plastics, & Rubber",15,1510,151010,15101050,Materials,Materials,Chemicals,Specialty Chemicals,"Companies that primarily produce high value-added chemicals used in the manufacture of a wide variety of products, including but not limited to fine chemicals, additives, advanced polymers, adhesives, sealants and specialty paints, pigments and coatings.","Agricultural, commodity and specialty chemicals producers"
Construction & Building,15,1510,151020,15102010,Materials,Materials,Construction Materials,Construction Materials,"Manufacturers of construction materials including sand, clay, gypsum, lime, aggregates, cement, concrete and bricks. Other finished or semi-finished building materials are classified  in the Building Products Sub-Industry.","Commercial and residential construction, homebuilding"
"Containers, Packaging, & Glass",15,1510,151030,15103010,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers ","Manufacturers of metal, glass or plastic containers. Includes corks and caps.","Paper, glass, metal and plastic packaging"
Forest Products & Paper,15,1510,151030,15103020,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials ,Manufacturers of paper and cardboard containers and packaging.,"Pulp and (non-packaging) paper, wood products"
Metals & Mining,15,1510,151040,15104010,Materials,Materials,Metals & Mining,Aluminum,"Producers of aluminum and related products, including companies that mine or process bauxite and companies that recycle aluminum to produce finished or semi-finished products. Excludes companies that primarily produce aluminum building materials classified in the Building Products Sub-Industry.","Coal and metal mining, aluminum and steel production and recycling"
